timestep,week,duration_h,demand_MW_s0,demand_MW_s1,demand_MW_s2,demand_MW_s3,demand_MW_s4,demand_MW_s5,demand_MW_s6,demand_MW_s7,demand_MW_s8,demand_MW_s9
444,63,24.0,68362.61,69581.91,71570.43,68444.56,63741.99,70477.76,72146.10,65833.96,70598.77,69035.05
445,63,24.0,66981.49,68509.32,74377.11,69530.62,60837.86,70560.60,70437.07,69876.44,70812.65,69416.76
446,63,24.0,66950.49,68780.15,75370.90,69649.96,62406.57,69575.03,69858.41,70356.49,71243.78,70410.00
447,63,24.0,68770.12,70809.16,68801.81,66075.75,61064.99,71571.84,70460.22,71183.64,63695.18,68859.61
448,64,24.0,64106.18,65938.46,62191.59,64928.99,60422.40,73374.25,65825.42,66640.76,56187.79,63206.23
449,64,24.0,58409.03,65169.62,58002.31,64252.81,58693.10,70473.05,63528.13,62207.09,54672.18,60513.50
450,64,24.0,66799.43,71414.82,65427.39,73822.71,65539.23,74627.26,71071.35,69865.97,64072.37,65695.71
451,64,24.0,69863.43,72333.39,65293.17,77303.99,61387.11,73778.50,73874.40,72218.98,65632.59,64813.72
452,64,24.0,70801.95,69630.23,64919.37,78972.16,64108.50,72488.75,74764.75,73244.23,67012.07,64725.92
453,64,24.0,71350.88,71723.62,67065.62,78031.63,62079.07,71890.27,77684.96,75013.24,66195.77,64584.44
454,64,24.0,70791.96,70204.33,67982.58,77081.01,64203.84,71525.68,76299.63,75828.65,65468.16,66770.72
455,65,24.0,65437.93,65198.34,61999.63,74527.13,66911.05,68268.99,71518.78,71137.76,59020.78,59327.54
456,65,24.0,61977.91,64141.42,57500.85,70142.56,61507.19,64970.65,68977.81,68931.25,56392.26,57621.83
457,65,24.0,65379.17,67671.78,64499.67,73204.52,65288.51,70172.72,75778.98,72918.96,65148.71,66610.58
458,65,24.0,65394.60,67262.02,67777.00,74921.06,68474.80,73559.17,74283.02,72123.48,66096.77,66185.61
459,65,24.0,66182.03,70581.31,66661.29,72333.69,69705.09,73947.41,73795.15,72265.93,66433.56,66337.08
460,65,24.0,65553.54,70851.41,66564.38,72286.42,70870.73,72958.59,73576.55,73930.41,66669.54,71302.09
461,65,24.0,65180.21,70790.97,68198.06,71622.68,69345.06,72634.85,74417.09,74286.89,67580.03,72079.57
462,66,24.0,63330.88,63847.07,60560.32,68968.88,66599.66,66750.68,73656.18,75147.87,63986.29,67360.83
463,66,24.0,61008.11,61773.35,58986.01,62370.05,64801.84,63838.78,68151.41,72501.00,63422.93,66364.78
464,66,24.0,67026.47,70361.47,67739.28,70423.23,72822.46,71892.18,74666.53,77196.55,71712.34,71230.40
465,66,24.0,69738.96,72463.35,68135.08,71880.31,73916.56,73301.88,72950.90,78368.20,71880.87,73311.17
466,66,24.0,69035.93,72196.24,70170.77,71907.10,74079.78,71915.99,72486.06,79252.63,73673.15,71621.63
467,66,24.0,71094.62,73555.78,68097.22,71707.51,73462.04,72672.48,71775.44,74716.29,74906.56,68004.87
468,66,24.0,69330.62,70314.15,71480.48,71086.11,75486.63,72027.57,74461.47,78702.10,75477.38,67270.27
469,67,24.0,69298.90,70108.03,64575.27,67669.49,70164.31,70120.49,72274.88,78366.69,68584.51,64996.84
470,67,24.0,66425.20,68074.28,60134.92,64412.89,64756.16,66369.66,70418.32,73643.82,61440.58,60238.08
471,67,24.0,69821.32,68335.37,55761.56,65868.86,62844.48,67125.19,71550.07,71528.97,58793.65,60270.11
472,67,24.0,72804.23,72151.30,62247.03,67726.02,67206.49,73569.64,77176.81,74254.95,65327.23,65979.48
473,67,24.0,74469.26,72808.75,63969.09,67301.97,68213.13,75799.96,79493.48,75912.18,67362.36,66989.55
474,67,24.0,73006.60,70471.50,66127.88,66865.18,68096.83,76697.51,79763.63,77834.33,67780.86,67021.78
475,67,24.0,72233.16,69932.54,67748.71,67468.38,65919.16,74107.40,76810.46,77768.19,66982.63,68108.61
476,68,24.0,68021.48,64207.39,62258.01,64156.03,59275.79,78412.84,71458.30,72683.25,63301.91,59603.41
477,68,24.0,67328.47,62054.72,59934.59,63869.09,57602.65,76701.07,68119.32,70851.26,61858.15,58933.31
478,68,24.0,63470.35,56107.61,58079.21,59730.13,61677.33,77225.02,65443.26,73148.69,58340.08,57928.70
479,68,24.0,70095.44,65384.49,63393.01,64545.44,70891.53,76436.89,70324.16,73558.71,72093.87,61634.22
480,68,24.0,73513.27,71334.57,65787.58,65963.40,73775.29,84615.98,74535.09,73047.88,77885.44,66314.63
481,68,24.0,74190.26,73020.63,67395.78,67829.08,70710.12,84285.89,75545.39,75001.10,79069.66,67254.58
482,68,24.0,74260.89,74344.41,70648.05,70150.15,71470.12,84725.69,72679.71,74626.37,80135.48,68315.97
483,69,24.0,66092.87,68595.60,63597.91,66088.85,74168.08,80468.33,68037.18,67667.66,75702.73,65641.19
484,69,24.0,62487.01,65337.88,63133.20,62724.25,73137.30,78195.02,66856.05,66306.60,72835.30,63729.52
485,69,24.0,72164.79,67540.41,70977.77,71866.13,76083.55,80213.42,74809.65,73708.34,77511.29,70582.33
486,69,24.0,70168.56,67436.12,74903.94,75034.67,75996.98,80364.95,76959.45,74287.51,77893.70,74118.04
487,69,24.0,71329.28,67055.42,70637.54,75186.61,76281.54,81299.04,77478.50,74612.27,77665.47,72597.82
488,69,24.0,70716.51,66681.28,69477.35,73443.14,78123.18,81455.22,77764.44,72948.32,78607.87,72261.27
489,69,24.0,71079.73,65339.74,71337.31,74222.08,79405.01,80884.25,78434.15,74990.31,78439.69,71862.25
490,70,24.0,66675.73,64642.97,67342.39,70289.69,72625.40,79385.93,79044.34,68302.19,77929.02,70388.46
491,70,24.0,63569.87,65304.22,65405.85,68482.06,70715.69,74533.60,78440.39,66705.43,74514.75,68940.76
492,70,24.0,68987.83,72772.51,68274.92,76302.84,69616.58,79275.12,81769.61,73172.85,79565.97,73965.57
493,70,24.0,72092.14,72182.74,68791.77,74724.19,69214.04,78936.18,79700.48,73380.58,80860.86,73187.84
494,70,24.0,73395.76,72820.65,73206.47,76603.94,68603.75,79428.72,79519.15,73726.42,80968.85,70002.48
495,70,24.0,73663.93,74101.06,71175.99,76979.89,68117.57,79807.43,79261.00,73264.63,80852.65,70476.68
496,70,24.0,72572.55,73829.10,70310.52,77471.15,71424.42,80507.10,77738.48,73951.86,80833.62,68810.32
497,71,24.0,63396.04,68010.16,62051.81,71564.69,65262.37,73113.67,73609.76,70602.88,76563.15,63137.15
498,71,24.0,58841.37,67367.17,65465.93,67747.50,61076.34,71275.69,71914.38,69573.87,72423.24,60095.59
499,71,24.0,65857.75,73881.40,72693.94,74527.12,71253.92,76693.57,75791.29,73596.18,76982.03,68630.97
500,71,24.0,68956.58,74083.10,71975.76,75477.90,72575.65,73730.36,74288.32,74781.45,77383.67,67531.28
501,71,24.0,69346.93,73975.38,73195.19,76713.02,73759.97,75365.79,74695.73,75838.29,76487.49,68438.99
502,71,24.0,71513.03,73543.03,74820.76,76234.24,73645.11,75361.68,75635.15,75227.49,78001.46,70071.51
503,71,24.0,71524.87,73174.61,75847.55,76530.85,74386.41,75280.11,74610.01,72879.77,80685.67,69004.00
504,72,24.0,65267.28,67187.36,72059.26,68523.10,70764.47,68061.22,66418.56,70549.94,71366.96,66218.11
505,72,24.0,64789.50,65185.40,69517.55,65331.77,69972.41,65141.12,64137.64,68030.39,66122.32,66128.28
506,72,24.0,72778.00,70320.72,74723.28,71915.92,76643.38,74321.71,69631.33,73094.96,75123.32,73024.74
507,72,24.0,72896.01,68294.28,75224.37,71330.46,78531.09,75037.71,71671.45,71586.31,76326.84,72971.51
508,72,24.0,70961.27,68245.10,77076.42,73138.26,78572.50,74880.78,73557.16,74420.81,76637.72,74709.07
509,72,24.0,71265.58,70247.91,76196.49,74952.19,79931.25,72576.93,70155.12,73480.70,78519.94,74657.01
510,72,24.0,71337.90,67967.89,77697.61,73326.95,80700.12,74274.28,69775.19,72176.87,80101.51,70851.51
511,73,24.0,68005.33,61125.31,71902.31,71968.46,77654.01,71611.80,62867.06,66974.97,74445.09,67869.06
512,73,24.0,66560.75,59723.78,69624.91,69066.36,76504.27,68482.84,61054.36,66048.22,73637.10,67149.75
513,73,24.0,70532.28,65202.44,72893.13,75337.40,82531.98,72640.55,66390.65,74442.84,78719.36,72072.62
514,73,24.0,73103.97,63274.15,70017.86,75438.23,81582.63,73417.14,67348.62,72020.82,78806.13,70554.00
515,73,24.0,72556.94,65944.80,68419.79,73505.51,83070.52,72539.50,66863.47,75174.86,78993.85,71165.98
516,73,24.0,72483.52,66826.26,71764.65,72527.06,83735.39,71065.65,68102.76,76156.45,79415.22,71599.17
517,73,24.0,74362.98,64874.75,71054.95,73403.55,82345.19,70012.95,68409.63,75559.32,79890.02,76137.54
518,74,24.0,68100.54,61855.14,70964.36,68905.67,79664.82,67306.41,65326.18,70047.23,76300.76,69292.76
519,74,24.0,65527.33,58273.87,67351.32,67118.27,78537.59,64503.79,63788.07,66960.66,76736.18,64935.69
520,74,24.0,70712.53,62985.10,73169.81,74451.79,83261.97,71815.66,69965.49,73606.98,84321.72,72427.71
521,74,24.0,70657.01,63426.87,73007.39,76019.90,83090.35,71473.78,69189.36,74834.00,87809.49,66984.86
522,74,24.0,70911.59,63802.50,73133.98,78231.87,82511.93,72554.67,70835.99,75449.56,87199.51,70109.01
523,74,24.0,68557.72,63499.68,71424.63,77046.16,83578.22,72054.35,68633.58,75609.29,86922.53,71695.70
524,74,24.0,68771.02,66410.72,73009.27,77325.80,82301.44,72039.21,68858.60,75502.16,82508.46,70806.54
525,75,24.0,64344.17,63033.24,64688.00,71465.25,77116.54,65587.57,60046.19,68335.23,76614.75,61607.86
526,75,24.0,61391.80,61614.35,61275.30,66550.30,74037.57,59270.18,55195.63,63565.38,76121.85,59030.93
527,75,24.0,65684.88,68810.79,67923.55,71526.37,77564.96,65685.66,63733.33,71803.54,78064.86,64264.76
528,75,24.0,68591.81,68251.62,69601.36,70763.48,78426.21,66620.16,65943.89,73347.52,78394.05,62571.42
529,75,24.0,70798.21,68351.12,69510.86,71659.70,78353.50,66477.93,65120.62,73358.24,77543.50,63659.79
530,75,24.0,67821.65,66702.45,68228.87,70955.53,77871.29,65153.43,64282.45,75064.60,77465.67,69281.11
531,75,24.0,71039.96,65963.94,66971.55,68384.33,76917.15,66286.07,66154.80,75564.25,76992.95,64136.07
532,76,24.0,68688.96,57302.99,64502.98,60711.66,69740.34,62121.21,59422.07,69868.56,71129.87,57204.79
533,76,24.0,65519.70,55105.86,60444.11,58326.89,67538.79,60075.99,56264.01,66161.48,68824.13,54067.79
534,76,24.0,66318.99,59920.44,66350.73,65434.24,75390.45,68467.91,60737.68,71307.71,75794.79,59249.85
535,76,24.0,66335.97,60642.97,65942.05,64795.00,76509.71,68368.84,59172.70,69338.36,76635.02,62126.20
536,76,24.0,65604.70,63101.79,63403.65,65281.17,75665.25,69460.20,59625.73,67586.36,78115.21,62451.11
537,76,24.0,65217.30,63548.15,68360.44,62829.66,75480.58,68272.28,60817.20,66909.13,77742.03,63937.37
538,76,24.0,66443.37,65117.11,67830.29,64490.65,74136.65,70302.38,65720.97,65958.73,78322.01,65379.93
539,77,24.0,62312.25,60753.45,63044.26,61625.46,67672.57,65045.39,64672.29,63068.64,69280.96,62729.19
540,77,24.0,62081.09,58434.52,62932.17,58979.87,67094.07,64718.22,61221.71,62044.79,68858.69,59093.65
541,77,24.0,63475.82,62576.95,64821.49,63077.14,70473.10,67271.48,66846.43,65632.41,71032.63,66766.30
542,77,24.0,65338.50,60073.87,64042.23,61181.83,70414.30,67423.85,62922.36,64159.33,70790.81,67785.59
543,77,24.0,66462.21,61448.94,64980.26,60721.45,70916.69,67071.91,62583.66,64829.06,70427.19,67189.68
544,77,24.0,66682.18,63844.43,64944.27,63406.89,68583.41,66166.97,64705.32,65878.45,69293.30,66481.15
545,77,24.0,66176.19,64405.06,63614.39,67101.96,69491.20,65933.05,64174.31,67045.07,68701.26,65184.58
546,78,24.0,61655.63,60577.15,61538.74,62240.10,62164.41,64890.77,62522.08,60112.32,63894.27,63687.35
547,78,24.0,60356.90,59520.75,58777.09,61424.77,60519.27,64190.16,62133.70,58242.10,62151.54,60923.97
548,78,24.0,62823.47,58722.91,61593.16,62202.52,64452.58,67938.23,61883.71,63193.21,67903.42,64971.77
549,78,24.0,63409.23,60151.53,61635.16,62102.14,65168.59,67167.49,62611.17,62858.88,68790.07,64029.84
550,78,24.0,62468.08,58541.69,62303.18,61251.50,63526.24,67669.39,63798.66,65645.55,69468.87,65003.55
551,78,24.0,61707.38,56806.60,62931.93,59740.67,64275.72,69701.36,62340.08,62707.64,68789.16,64622.00
552,78,24.0,62550.72,55551.78,61874.49,65380.64,64487.03,69329.72,63200.01,62700.20,69135.25,68954.38
553,79,24.0,59921.13,51074.74,63834.82,60347.82,60014.62,63968.44,62317.02,59833.02,64220.87,65381.17
554,79,24.0,56763.32,46340.91,63415.40,57582.02,57800.90,63264.04,62218.78,56627.63,60615.06,64214.82
555,79,24.0,61341.32,52581.32,64956.57,62004.95,61516.14,66965.36,68762.82,64185.53,66263.49,66648.31
556,79,24.0,62573.14,52734.24,66969.63,61825.77,62597.34,67770.32,67117.21,65713.76,66163.41,64412.30
557,79,24.0,63498.24,53798.13,67124.83,61895.54,62295.47,67581.81,65899.47,66589.78,64746.54,66271.01
558,79,24.0,61737.82,53008.90,65242.69,63188.19,61290.68,67110.92,65476.25,67279.30,63825.86,66923.02
559,79,24.0,61962.64,53016.18,66001.57,62674.04,60420.77,64596.89,69215.43,67668.58,65143.29,64544.48
560,80,24.0,63168.05,48053.25,63929.91,59179.70,54483.93,63891.03,61713.10,64880.11,59690.29,63048.31
561,80,24.0,62706.67,45252.47,62048.67,56594.86,52320.80,61984.54,58776.71,64237.77,58354.80,64585.78
562,80,24.0,65231.63,50516.89,62077.86,58481.34,59762.69,63051.29,60997.96,65866.01,61553.94,67303.31
563,80,24.0,63598.75,51958.77,61715.44,58201.77,60604.26,64437.02,61836.44,64993.52,61860.73,68703.20
564,80,24.0,65204.57,51957.46,61682.84,57638.01,56321.40,66874.61,63484.99,66598.11,61924.85,68637.22
565,80,24.0,61996.90,52513.50,65486.46,57466.06,57434.87,67084.54,64563.25,65963.55,61438.75,66472.13
566,80,24.0,63635.94,53119.86,63208.19,59973.01,56032.10,66560.30,62835.45,66100.56,62202.37,66425.09
567,81,24.0,60059.73,46902.84,64021.78,57370.58,54852.07,61570.46,59060.36,61078.71,59127.22,65442.27
568,81,24.0,56569.48,49559.49,60504.23,52455.20,54471.96,58150.83,54948.30,58327.77,53838.47,58711.91
569,81,24.0,59058.07,57001.44,61396.94,57024.86,58970.43,63259.48,58697.77,58830.08,60467.66,62421.27
570,81,24.0,57881.94,58197.30,61978.33,55758.79,58808.68,61455.13,54890.33,59196.19,62189.10,63803.74
571,81,24.0,56601.54,58333.94,60854.79,56990.67,61214.15,62953.94,56366.77,58798.25,62924.18,63193.83
572,81,24.0,57809.33,58410.84,60408.97,56258.57,62381.45,60354.32,56136.64,58255.81,63366.37,60990.21
573,81,24.0,60155.79,59744.18,59256.66,57850.72,61841.73,63718.61,59279.71,58834.30,63775.42,62389.66
574,82,24.0,56586.08,59416.74,59601.12,56131.61,56030.39,56408.14,53593.13,55075.96,60425.73,59251.26
575,82,24.0,51981.31,56376.90,55015.13,52878.06,51629.95,54589.31,51810.08,51564.81,58060.40,55571.23
576,82,24.0,52584.84,53939.98,56021.06,51614.82,50718.76,54304.95,53028.98,51904.47,56630.47,58053.52
577,82,24.0,54786.95,56389.44,58732.13,55735.72,53642.90,59120.37,56842.75,55033.75,60988.48,62061.40
578,82,24.0,56451.01,57159.03,60327.26,55878.32,53908.12,60075.72,57294.69,58457.67,62683.79,61979.68
579,82,24.0,55226.96,56630.75,58489.55,56408.65,56504.27,58995.82,55526.59,60171.98,62694.28,58593.06
580,82,24.0,56746.23,55313.19,60196.07,53821.85,54043.15,58964.36,55538.79,58837.30,63028.01,61088.42
581,83,24.0,55211.19,54690.45,55917.75,53698.09,54934.25,58259.36,54794.14,54781.23,60451.09,55363.06
582,83,24.0,52443.10,52247.52,53794.33,49356.88,51259.23,56071.27,52153.39,51980.55,57687.53,52336.68
583,83,24.0,56153.07,55430.56,56986.66,54604.24,56841.45,59014.83,56165.39,58771.63,61412.51,57615.49
584,83,24.0,56142.74,54383.77,58045.64,56146.72,55675.07,59518.32,57546.71,59105.36,61831.65,56852.25
585,83,24.0,56263.40,55536.14,59336.26,57241.83,57460.80,60511.59,57809.17,59066.59,61914.37,58866.95
586,83,24.0,56705.78,56303.38,57063.92,56254.96,55929.84,60244.46,58240.65,58987.21,61267.82,59263.69
587,83,24.0,56251.75,56881.87,56337.82,56731.12,55066.96,61041.84,57809.91,61409.80,60993.51,58839.49
588,84,24.0,54413.20,56321.34,54019.41,52324.28,51107.88,57688.70,56220.87,58680.48,58035.06,53201.26
589,84,24.0,51738.08,52572.15,50889.83,50006.10,48446.21,56248.16,52167.99,55345.39,56554.76,50077.47
590,84,24.0,56336.39,56977.87,55547.13,55417.37,54953.04,59370.36,59105.47,60326.84,63029.94,57620.60
591,84,24.0,55396.26,56536.46,57013.50,55870.08,54200.09,60090.10,60184.98,62658.60,64439.45,57309.31
592,84,24.0,58514.26,57198.58,57046.10,55269.15,52252.77,61717.64,60207.44,60950.51,62848.53,59330.44
593,84,24.0,58433.69,56048.64,58754.87,56877.74,53411.64,62131.59,60402.99,60766.61,62685.78,58358.48
594,84,24.0,57577.65,56582.62,58424.20,54385.65,52981.70,59341.99,60418.41,60075.76,62225.28,58816.62
595,85,24.0,52665.30,52513.37,54505.75,54356.71,47648.03,54903.69,55863.53,59991.57,55021.66,54472.60
596,85,24.0,50052.27,48992.76,52219.51,52633.87,43786.39,50371.28,51335.57,57236.11,51717.17,52221.28
597,85,24.0,52562.81,54539.54,57297.35,55505.43,47973.97,53696.97,52938.78,59772.37,55807.92,54699.69
598,85,24.0,49730.44,48876.58,52803.59,53269.04,46413.49,49835.68,46601.63,51903.01,50497.64,49763.63
599,85,24.0,56268.46,55123.79,56950.56,57835.38,52987.27,54562.67,52293.29,58273.12,57921.49,54901.95
600,85,24.0,56216.49,56700.11,58419.38,57264.78,55467.28,57044.08,55461.60,56852.68,57102.41,56463.03
601,85,24.0,56112.63,56452.07,57647.80,59548.48,55165.96,56791.44,53860.88,53634.89,58331.16,56275.49
602,86,24.0,50828.03,53446.95,56608.59,56608.73,48938.91,53256.98,51365.82,49778.81,52681.49,51511.33
603,86,24.0,48674.41,51592.69,52479.21,54384.44,46134.48,49627.90,48971.33,46886.12,48935.54,47153.38
604,86,24.0,52947.73,56439.29,54401.57,56445.34,48997.10,52848.33,55494.81,50599.64,52199.49,50799.35
605,86,24.0,52033.88,52179.56,52611.74,57947.50,47605.57,51925.92,52006.22,48601.15,51516.11,49192.03
606,86,24.0,55175.24,56147.88,57772.66,60838.43,50237.31,56132.61,57155.88,53097.37,55127.34,51764.98
607,86,24.0,55795.27,57834.40,58432.33,60428.21,51240.42,57551.94,57607.17,54798.69,56385.40,53855.94
608,86,24.0,56491.81,58046.25,58909.86,61030.49,53253.71,57223.30,56380.36,53950.47,55834.00,53917.25
609,87,24.0,53476.30,53250.13,54597.59,57403.82,50237.79,52812.29,50369.16,48886.76,50563.09,48917.37
610,87,24.0,51488.83,51107.46,50226.52,54050.61,48306.84,51152.84,44768.69,45399.53,48001.81,47710.80
611,87,24.0,55021.47,56783.10,53938.29,58569.40,52393.63,57624.24,53083.14,52480.98,54912.80,53876.91
612,87,24.0,54856.26,56558.55,54050.92,59105.34,53197.15,58229.98,55224.46,54982.50,54866.46,55401.85
613,87,24.0,55988.21,55726.50,53614.82,56660.78,53946.63,57215.81,56217.48,55736.73,54626.52,55484.74
614,87,24.0,48915.38,46462.27,44890.15,50251.51,48795.22,49809.60,46663.61,49808.66,49634.07,49486.07
615,87,24.0,49439.85,48076.99,47562.33,50970.72,51492.70,51118.18,50586.99,51492.79,50375.87,50973.11
616,88,24.0,48367.29,46561.65,47474.08,54178.39,49830.89,50490.66,48778.21,47857.74,51205.52,51440.61
617,88,24.0,48032.96,43760.99,44256.92,51905.34,49633.74,47827.05,42959.41,44938.30,48193.05,48451.41
618,88,24.0,55617.40,51611.80,53033.50,57471.78,54854.84,55053.21,51530.06,53425.73,54322.35,54350.94
619,88,24.0,56225.72,52275.59,54325.21,57166.49,53940.05,57266.51,51871.66,54869.41,54615.34,55046.52
620,88,24.0,55396.12,53143.19,54640.73,57628.44,52606.26,56630.61,52337.00,54359.33,52270.06,54976.90
621,88,24.0,55111.30,54246.93,55003.44,56264.40,53215.55,56992.39,52591.06,52900.99,53489.17,54942.26
622,88,24.0,54514.65,54665.30,54269.67,58003.29,53338.37,56911.55,51268.61,52099.38,53177.07,54407.76
623,89,24.0,51657.14,49689.26,49672.29,50915.88,50065.49,51665.95,44736.78,45940.14,48135.68,48497.80
624,89,24.0,48472.74,46645.99,45731.38,47595.01,46239.89,47829.55,40987.28,42891.83,45605.80,45853.21
625,89,24.0,56607.95,52296.67,53877.73,54412.08,53924.23,55512.14,49870.31,50981.27,53807.43,52977.01
626,89,24.0,56502.62,51554.15,54798.38,53696.16,54164.19,56148.05,52563.88,52028.47,53828.35,54132.93
627,89,24.0,57735.22,52236.72,55337.28,55113.04,54627.38,56108.23,53235.29,52324.63,55039.89,55517.54
628,89,24.0,57297.97,51198.65,55479.88,53839.38,54599.36,56826.85,55180.55,52916.27,54718.70,56778.44
629,89,24.0,56773.57,50693.96,55088.60,53586.54,53304.16,54175.37,55493.51,55337.66,55158.65,54943.41
630,90,24.0,52384.08,44068.00,49423.72,50644.17,48583.48,50413.60,51351.25,49188.91,50867.49,49250.75
631,90,24.0,49806.61,41988.98,47559.14,47820.28,46106.09,48154.06,48530.96,47221.47,47650.31,46731.77
632,90,24.0,55745.67,49047.81,55224.22,53989.58,52714.69,55901.85,53524.15,53292.94,53861.36,55105.15
633,90,24.0,55801.24,49240.42,55537.65,54071.74,51309.37,56693.86,53485.76,53582.06,55494.37,55019.71
634,90,24.0,56211.30,48773.71,55831.72,53881.96,49601.58,56779.27,54038.52,53769.10,55324.71,53951.11
635,90,24.0,56205.57,48420.01,56148.00,53570.83,51029.79,55333.99,53940.15,54730.59,54273.79,54337.95
636,90,24.0,56409.68,47791.53,56972.34,55404.75,52243.27,55756.77,53451.32,53674.73,53766.27,53862.61
637,91,24.0,50453.85,42938.21,50083.62,49511.06,47671.56,50010.75,49354.60,50502.25,49200.34,49103.72
638,91,24.0,48368.64,40805.92,47696.92,47539.21,46345.96,47608.16,46950.13,47175.28,46623.98,46575.12
639,91,24.0,53872.30,48703.80,52894.36,52295.04,50735.79,53879.48,51861.57,52170.55,53935.39,51911.27
640,91,24.0,54677.79,50077.52,52304.46,53496.09,49770.74,54595.37,53634.48,54503.62,53879.01,52736.17
641,91,24.0,52937.83,49765.75,53309.76,53675.21,50263.73,54728.02,54626.64,53751.37,53831.85,52727.05
642,91,24.0,54173.39,49982.70,52078.72,53417.18,51389.13,55249.04,52755.04,52644.17,54467.92,51641.39
643,91,24.0,53610.79,49084.59,52759.22,53676.99,50585.09,53489.67,54438.20,54079.22,53670.16,53273.11
644,92,24.0,51233.47,43637.64,50689.53,51400.22,48793.71,48283.37,49135.62,49428.47,48244.72,50422.84
645,92,24.0,49153.03,42740.26,46534.45,48484.77,46387.16,47047.90,45254.67,47389.05,44541.51,48054.50
646,92,24.0,53814.56,48957.73,51371.56,52874.31,49665.85,53622.19,52458.96,51792.34,53937.02,53758.73
647,92,24.0,53720.40,49652.56,52075.93,52365.88,50324.16,54967.70,53617.80,52645.66,54883.29,53226.98
648,92,24.0,55074.10,48875.49,53276.77,53341.61,50696.03,54428.91,55842.64,53441.88,55285.56,53587.99
649,92,24.0,56158.96,49659.31,53229.40,53500.92,50206.18,54860.70,56345.88,53804.29,56002.28,53293.39
650,92,24.0,56161.49,50257.49,50647.08,53754.31,49882.94,55073.86,56295.22,54128.27,56013.20,52976.65
651,93,24.0,51610.51,44107.64,48981.24,51249.47,49572.93,51054.14,50379.33,53423.21,50129.13,48757.45
652,93,24.0,50118.49,43423.81,46402.05,48388.55,46874.95,48520.95,47748.27,50564.41,47118.43,46835.48
653,93,24.0,54529.25,50681.73,50631.96,53959.15,49256.77,53363.92,54909.79,55560.68,54044.92,53098.30
654,93,24.0,55941.20,50866.57,50971.66,53300.00,50579.67,54262.12,53981.76,55420.65,54741.41,51996.48
655,93,24.0,55323.77,51583.17,51101.16,54452.48,49694.77,53164.75,53934.90,55972.92,54389.34,52234.15
656,93,24.0,54956.52,51680.03,51752.22,55207.64,51400.85,52872.83,53256.60,56268.66,54507.18,53202.87
657,93,24.0,54341.22,51386.54,51777.35,55123.14,51018.84,53569.67,53495.82,55553.32,55481.80,53640.62
658,94,24.0,52854.66,47698.29,50065.76,52853.74,49035.82,49594.22,52196.42,53240.43,51779.30,51543.12
659,94,24.0,48890.89,46230.58,48875.18,47872.20,46774.71,47655.43,47921.49,45809.66,49558.49,49645.21
660,94,24.0,55254.35,50379.79,53410.73,54066.79,51981.59,51673.84,54894.96,53872.67,54299.61,56772.10
661,94,24.0,54483.33,50636.29,54657.96,54710.47,52466.20,54405.80,54360.79,53897.19,55223.93,58668.00
662,94,24.0,53774.70,50183.91,53896.08,56100.01,51151.49,54711.15,56981.39,54245.00,55941.96,57876.48
663,94,24.0,55849.84,50713.78,54366.06,55964.51,51515.55,53538.17,57170.88,53923.24,54215.72,58015.73
664,94,24.0,53744.88,50121.56,53668.17,57357.96,51168.83,53868.93,55443.81,52841.73,54022.20,55503.87
665,95,24.0,51362.02,44484.85,50667.66,53542.52,49681.23,52349.91,50649.40,50424.91,52557.09,52249.71
666,95,24.0,49175.74,44845.56,48012.19,50138.90,46303.63,48983.46,48300.05,47631.88,49400.53,50634.60
667,95,24.0,54507.98,49866.47,52553.05,56324.32,52275.69,55249.02,53125.19,53249.78,55411.18,57226.05
668,95,24.0,54998.31,49715.66,53791.17,56214.40,54185.19,56358.51,54026.60,52615.48,56073.61,57227.63
669,95,24.0,54104.45,50217.16,53975.30,54415.41,53777.77,56535.68,54442.60,52778.69,55707.32,56473.58
670,95,24.0,52938.64,49956.68,53526.03,53945.31,53687.93,55703.85,55043.37,53595.39,56276.48,56299.30
671,95,24.0,52607.20,50136.36,54178.11,55576.72,53407.73,56936.28,56138.82,53368.89,57075.25,58278.82
672,96,24.0,47599.47,46804.87,49463.04,48821.01,47902.12,48858.59,51156.72,46654.06,50021.78,52425.90
673,96,24.0,47929.37,47423.88,49791.35,49234.53,47456.37,48695.28,51710.30,46679.33,49330.96,52933.16
674,96,24.0,54449.92,52227.98,56258.43,55170.82,51866.84,52993.50,56550.85,53457.88,57019.71,59287.58
675,96,24.0,54907.17,53197.75,55432.52,56721.36,53394.07,55465.57,56525.71,54200.09,58112.69,60632.81
676,96,24.0,55902.56,52762.23,56233.06,55868.38,53794.32,54241.78,55843.58,55079.88,57406.65,60031.51
677,96,24.0,55540.49,51987.87,54694.58,55400.90,54381.73,53531.97,56724.60,55072.34,55821.14,58369.04
678,96,24.0,54622.82,51941.24,56717.83,54184.66,55027.17,55235.66,56453.69,54424.04,56920.03,59261.15
679,97,24.0,49574.03,49780.62,53884.91,50103.00,50115.07,53716.15,53582.41,50479.72,55076.16,56459.79
680,97,24.0,47779.82,47223.94,51213.17,47929.30,47278.44,50034.89,50271.62,48880.91,52419.15,53416.02
681,97,24.0,53880.32,51338.28,55216.43,54946.66,52236.87,56482.88,55885.68,54495.20,56081.74,58277.80
682,97,24.0,54884.49,51762.70,57748.38,55204.80,52477.14,56132.21,56723.22,54692.98,56437.68,57480.11
